Icon,Name,Stratagem Code,Cost,Unlock Level,Source
Supply Pack Stratagem Icon.svg,B-1 Supply Pack,Stratagem Arrow Down.svg | Stratagem Arrow Left.svg | Stratagem Arrow Down.svg | Stratagem Arrow Up.svg | Stratagem Arrow Up.svg | Stratagem Arrow Down.svg,Requisition Slip.svg,1,Engineering Bay
Jump Pack Stratagem Icon.svg,LIFT-850 Jump Pack,Stratagem Arrow Down.svg | Stratagem Arrow Up.svg | Stratagem Arrow Up.svg | Stratagem Arrow Down.svg | Stratagem Arrow Up.svg,Requisition Slip.svg,8,Hangar
Ballistic Shield Backpack Stratagem Icon.svg,SH-20 Ballistic Shield Backpack,Stratagem Arrow Down.svg | Stratagem Arrow Left.svg | Stratagem Arrow Down.svg | Stratagem Arrow Down.svg | Stratagem Arrow Up.svg | Stratagem Arrow Left.svg,Requisition Slip.svg,12,Engineering Bay
Guard Dog Stratagem Icon.svg,AX/AR-23 Guard Dog,Stratagem Arrow Down.svg | Stratagem Arrow Up.svg | Stratagem Arrow Left.svg | Stratagem Arrow Up.svg | Stratagem Arrow Right.svg | Stratagem Arrow Down.svg,Requisition Slip.svg,10,Engineering Bay
Rover Stratagem Icon.svg,AX/LAS-5 Rover,Stratagem Arrow Down.svg | Stratagem Arrow Up.svg | Stratagem Arrow Left.svg | Stratagem Arrow Up.svg | Stratagem Arrow Right.svg | Stratagem Arrow Right.svg,Requisition Slip.svg,10,Robotics Workshop
Shield Generator Pack Stratagem Icon.svg,SH-32 Shield Generator Pack,Stratagem Arrow Down.svg | Stratagem Arrow Up.svg | Stratagem Arrow Left.svg | Stratagem Arrow Right.svg | Stratagem Arrow Left.svg | Stratagem Arrow Right.svg,Requisition Slip.svg,20,Engineering Bay
Directional Shield Stratagem Icon.svg,SH-51 Directional Shield,Stratagem Arrow Down.svg | Stratagem Arrow Up.svg | Stratagem Arrow Left.svg | Stratagem Arrow Right.svg | Stratagem Arrow Up.svg | Stratagem Arrow Up.svg,Medal.svg,N/A,Urban Legends P1
Hot Dog Stratagem Icon.svg,AX/FLAM-75 Hot Dog,Stratagem Arrow Down.svg | Stratagem Arrow Up.svg | Stratagem Arrow Left.svg | Stratagem Arrow Up.svg | Stratagem Arrow Left.svg | Stratagem Arrow Left.svg,Medal.svg,N/A,Python Commandos P1
Portable Hellbomb Stratagem Icon.svg,B-100 Portable Hellbomb,Stratagem Arrow Down.svg | Stratagem Arrow Right.svg | Stratagem Arrow Up.svg | Stratagem Arrow Up.svg | Stratagem Arrow Up.svg,Medal.svg,N/A,Servants of Freedom P3
K-9 Stratagem Icon.svg,AX/ARC-3 K-9,Stratagem Arrow Down.svg | Stratagem Arrow Up.svg | Stratagem Arrow Left.svg | Stratagem Arrow Up.svg | Stratagem Arrow Right.svg | Stratagem Arrow Left.svg,Medal.svg,N/A,Force of Law P3
Hover Pack Stratagem Icon.svg,LIFT-860 Hover Pack,Stratagem Arrow Down.svg | Stratagem Arrow Up.svg | Stratagem Arrow Up.svg | Stratagem Arrow Down.svg | Stratagem Arrow Left.svg | Stratagem Arrow Right.svg,Medal.svg,N/A,Borderline Justice P3
Dog Breath Stratagem Icon.svg,AX/TX-13 Dog Breath,Stratagem Arrow Down.svg | Stratagem Arrow Up.svg | Stratagem Arrow Left.svg | Stratagem Arrow Up.svg | Stratagem Arrow Right.svg | Stratagem Arrow Up.svg,Medal.svg,N/A,Chemical Agents P3
Warp Pack Stratagem Icon.svg,LIFT-182 Warp Pack,Stratagem Arrow Down.svg | Stratagem Arrow Left.svg | Stratagem Arrow Right.svg | Stratagem Arrow Down.svg | Stratagem Arrow Left.svg | Stratagem Arrow Right.svg,Medal.svg,N/A,Control Group P3
