Icon,Name,Stratagem Code,Cost,Unlock Level,Source
Orbital Precision Strike Stratagem Icon.svg,Orbital Precision Strike,Stratagem Arrow Right.svg | Stratagem Arrow Right.svg | Stratagem Arrow Up.svg,Free,1,Bridge
Orbital Gatling Barrage Stratagem Icon.svg,Orbital Gatling Barrage,Stratagem Arrow Right.svg | Stratagem Arrow Down.svg | Stratagem Arrow Left.svg | Stratagem Arrow Up.svg | Stratagem Arrow Up.svg,Requisition Slip.svg,1,Orbital Cannons
Orbital Gas Strike Stratagem Icon.svg,Orbital Gas Strike,Stratagem Arrow Right.svg | Stratagem Arrow Right.svg | Stratagem Arrow Down.svg | Stratagem Arrow Right.svg,Requisition Slip.svg,1,Bridge
Orbital 120mm HE Barrage Stratagem Icon.svg,Orbital 120mm HE Barrage,Stratagem Arrow Right.svg | Stratagem Arrow Right.svg | Stratagem Arrow Down.svg | Stratagem Arrow Left.svg | Stratagem Arrow Right.svg | Stratagem Arrow Down.svg,Requisition Slip.svg,5,Orbital Cannons
Orbital Airburst Strike Stratagem Icon.svg,Orbital Airburst Strike,Stratagem Arrow Right.svg | Stratagem Arrow Right.svg | Stratagem Arrow Right.svg,Requisition Slip.svg,5,Orbital Cannons
Orbital Smoke Strike Stratagem Icon.svg,Orbital Smoke Strike,Stratagem Arrow Right.svg | Stratagem Arrow Right.svg | Stratagem Arrow Down.svg | Stratagem Arrow Up.svg,Requisition Slip.svg,8,Bridge
Orbital EMS Strike Stratagem Icon.svg,Orbital EMS Strike,Stratagem Arrow Right.svg | Stratagem Arrow Right.svg | Stratagem Arrow Left.svg | Stratagem Arrow Down.svg,Requisition Slip.svg,5,Bridge
Orbital 380mm HE Barrage Stratagem Icon.svg,Orbital 380mm HE Barrage,Stratagem Arrow Right.svg | Stratagem Arrow Down.svg | Stratagem Arrow Up.svg | Stratagem Arrow Up.svg | Stratagem Arrow Left.svg | Stratagem Arrow Down.svg | Stratagem Arrow Down.svg,Requisition Slip.svg,8,Orbital Cannons
Orbital Walking Barrage Stratagem Icon.svg,Orbital Walking Barrage,Stratagem Arrow Right.svg | Stratagem Arrow Down.svg | Stratagem Arrow Right.svg | Stratagem Arrow Down.svg | Stratagem Arrow Right.svg | Stratagem Arrow Down.svg,Requisition Slip.svg,10,Orbital Cannons
Orbital Laser Stratagem Icon.svg,Orbital Laser,Stratagem Arrow Right.svg | Stratagem Arrow Down.svg | Stratagem Arrow Up.svg | Stratagem Arrow Right.svg | Stratagem Arrow Down.svg,Requisition Slip.svg,15,Orbital Cannons
Orbital Napalm Barrage Stratagem Icon.svg,Orbital Napalm Barrage,Stratagem Arrow Right.svg | Stratagem Arrow Right.svg | Stratagem Arrow Down.svg | Stratagem Arrow Left.svg | Stratagem Arrow Right.svg | Stratagem Arrow Up.svg,Requisition Slip.svg,18,Orbital Cannons
Orbital Railcannon Strike Stratagem Icon.svg,Orbital Railcannon Strike,Stratagem Arrow Right.svg | Stratagem Arrow Up.svg | Stratagem Arrow Down.svg | Stratagem Arrow Down.svg | Stratagem Arrow Right.svg,Requisition Slip.svg,20,Orbital Cannons
